scorer,,,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick
bodyparts,,,TS,TS,S1,S1,S2,S2,T1,T1,T2,T2,T3,T3,T4,T4
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,01167,img26.png,608.0067096029976,412.2067757382021,576.0831298828125,415.99420166015625,558.51953125,427.0660400390625,569.5430297851562,449.4417419433594,593.196533203125,449.9779052734375,611.5946655273438,428.6614685058594,629.7937622070312,399.9281311035156
labeled-data,01167,img27.png,613.9815019362767,423.6009675882658,581.8399047851562,415.54241943359375,560.6298217773438,420.59967041015625,564.4143933442306,446.98227987780893,589.8385654719292,452.9898077686669,,,625.6722996783254,406.6140750691098
labeled-data,01167,img28.png,616.6301188942261,431.8006672385863,588.9468994140625,414.5445861816406,565.407958984375,416.6064758300781,559.1001586914062,437.2275390625,577.8428567127874,454.2815327171019,601.5427863942658,443.9040187807629,625.3979753320116,408.0949311583655
labeled-data,01167,img29.png,618.6419677734375,435.1933898925781,593.1299438476562,418.2905578613281,570.8904418945312,416.3930969238281,556.3447433062721,436.3273840269015,572.3869817076761,453.3041491667711,596.2988214677179,447.36770143492055,621.4454317796838,416.90768279090537
labeled-data,01167,img30.png,622.66522706461,438.59020261597544,595.7725219726562,419.5816345214844,573.2564697265625,415.1266784667969,555.157958984375,429.7649230957031,560.4902477543334,449.8382800085536,584.030907926548,453.8530371370327,,
labeled-data,01167,img31.png,627.6939180499556,437.5616009524103,598.8356323242188,420.0249328613281,577.8948364257812,414.702880859375,553.1353149414062,423.7120361328125,555.3623024501552,447.1506630458584,577.3106599959334,455.0565091961381,603.5419315615139,443.9082493039916
labeled-data,01167,img32.png,633.0172729492188,433.622802734375,602.595703125,420.4231872558594,580.1849975585938,415.72247314453125,550.4931640625,422.0407409667969,546.9716796875,441.7050476074219,563.572676075157,455.46221923828125,590.7152081614352,454.92171753831184
labeled-data,01167,img33.png,641.7393188476562,426.8591003417969,606.544189453125,420.5854797363281,583.69677734375,417.114990234375,548.6983032226562,418.6611633300781,539.9795532226562,436.9100036621094,550.19482421875,455.152587890625,576.1287428071117,462.5075169192689
